PT,SO,AU,TI,VL,PY,AB,Relevance to article,species,common name,Class,Methods,Method classification,Notes,Read?,Personality,Mate choice and Sexual selection,Reproduction and Fecundity,Parental Care,Communication,Foraging,Predator avoidance,Locomotion,Migration,Life history,Social behavior,Cooperation,Learning,Plasticity,Phenotypic gambit,IGE,GxE,Human
 J, PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES," Miller, CW   Moore, AJAF Miller, Christine W.   Moore, Allen J.", A potential resolution to the lek paradox through indirect genetic   effects,274,2007," Females often prefer males with elaborate traits, even when they receive no direct benefits from their choice. In such situations, mate discrimination presumably has genetic advantages; selective females will produce offspring of higher genetic quality. Over time, persistent female preferences for elaborate secondary-sexual traits in males should erode genetic variance in these traits, eventually eliminating any benefit to the preferences. Yet, strong female preferences persist in many taxa. This puzzle is called the lek paradox and raises two primary questions: do females obtain genetic benefits for offspring by selecting males with elaborate secondary-sexual characteristics and, if so, how is the genetic variation in these male traits maintained? We suggest that indirect genetic effects may help to resolve the lek paradox. Maternal phenotypes, such as habitat selection behaviours and offspring provisioning, often influence the condition and the expression of secondary-sexual traits in sons. These maternal influences are commonly genetic based (i.e. they are indirect genetic effects). Females choosing mates with elaborate traits may receive 'good genes' for daughters in the form of effective maternal characteristics. Recognizing the significance of indirect genetic effects may be important to our understanding of the process and consequences of sexual selection.",focus on female preferences and the lek paradox - suggest that IGE may resolve the paradox. ,,,,review/synthesis,,read for IGE,yes,,x,,,,,,,,,,,,,,x,,not human
 J, ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH," Grant, JD   Heath, AC   Bucholz, KK   Madden, PAF   Agrawal, A   Statham, DJ   Martin, NGAF Grant, Julia D.   Heath, Andrew C.   Bucholz, Kathleen K.   Madden, Pamela A. F.   Agrawal, Arpana   Statham, Dixie J.   Martin, Nicholas G.", Spousal concordance for alcohol dependence: Evidence for assortative   mating or spousal interaction effects?,31,2007," Background: Alcohol dependence (AD) is among the most common psychiatric disorders, and impacts the health and well-being of problem drinkers, their family members, and society as a whole. Although previous research has consistently indicated that genetic factors contribute to variance in risk for AD, little attention has been paid to nonrandom mating for AD. When assortative mating occurs for a heritable trait, spouses are genetically correlated and offspring are at increased risk of receiving high-risk genes from both parents. The primary goal of the present analyses is to test hypotheses about the source(s) and magnitude of spousal associations for AD using a twin-spouse design.   Methods: DSM-IV AD (without the clustering criterion) was assessed via telephone interview for 5,974 twin members of an older cohort of the Australian Twin Register (born 1902-1964) and 3,814 spouses of the twins. Quantitative genetic modeling was used to determine the extent to which variability in risk for AD was influenced by genetic factors, the extent of spousal association for AD, and whether the association was attributable to assortative mating, reciprocal spousal interaction, or both processes.   Results: Genetic factors explained 49% of the variance in risk for AD. There was no evidence of gender differences in the spousal interaction effect, the degree of rater bias, or the association between the twin's report of spouse AD and the spouse's AD phenotype. Either the assortative mating parameter or the spousal interaction parameter could be removed from the model without a significant decrement in fit, but both could not be dropped simultaneously, suggesting a lack of power to differentiate between these 2 causes of spousal correlation. When both effects were included in the model, the spousal correlation was 0.29, the assortative mating coefficient was 0.45 (i.e., ""like marries like""), and the reciprocal spousal interaction coefficient was -0.10 (i.e., after controlling for assortative mating, the additional impact of spousal interactions is slightly protective).   Conclusions: These analyses provide evidence of significant spousal associations for AD, with assortative mating increasing spouse similarity and spousal interaction effects decreasing it after controlling for assortative mating. Although the genetic impact is modest, assortative mating results in an increased proportion of offspring exposed to 2 alcoholic parents and the associated detrimental environmental sequelae, and increases the likelihood of offspring inheriting high-risk genes from both parents.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, BEHAVIORAL ECOLOGY," Moretz, JA   Martins, EP   Robison, BDAF Moretz, Jason A.   Martins, Emilia P.   Robison, Barrie D.", Behavioral syndromes and the evolution of correlated behavior in   zebrafish,18,2007," Studies of ""behavioral syndromes"" in different populations and species of animals can be used to shed light on the underlying mechanisms of evolution. For example, some personality syndromes suggest the existence of an underlying hormonal link, whereas other relationships between boldness and aggression appear to be the result of similar selective pressures. Here, we used 1 wild-derived and 2 laboratory strains of zebrafish (Danio rerio) to examine relationships among 5 behavioral measures: shoaling, activity level, predator approaches, latency to feed after a disturbance, and biting to a mirror stimulus. We found evidence of an activity syndrome, as if underlying metabolic costs influence variation in multiple forms of behavior. Evidence for a relationship between boldness and aggression was also apparent but depended both on strain and which specific behavior patterns were identified as measures of ""boldness."" Although some comparisons of laboratory and wild-derived strains were consistent with a domestication syndrome, others were not. Most observed relationships were relatively weak and occasionally inconsistent, arguing against strong underlying genetic linkages or pleiotropic effects relating any of the behavioral measures. Instead, it may be more important to study the details of selective context or the long-term impact of linkages between some, but not all, of a large set of genes influencing complex behavioral traits. We found profound differences among strains in most behavior patterns, but few sex differences. One strain (TM1) was consistently different from the others (SH and Nadia) being more social, more likely to approach predators, and taking less time to recover from disturbance than were the other 2 strains.",observed major differences among strains and the strains showed inconsistent relationships between boldness and aggression. Also observed mainly weak relationships among traits,Danio rerio,zebrafish,Actinopterygii,1 wild and 2 lab strains of zebrafish,phenotypes,not strictly quantitative genetics but useful for the personality review,skim,x,,,,,,,,,,,,,,,,,not human
 J, JOURNAL OF EVOLUTIONARY BIOLOGY," Forister, ML   Ehmer, AG   Futuyma, DJAF Forister, M. L.   Ehmer, A. G.   Futuyma, D. J.", The genetic architecture of a niche: variation and covariation in host   use traits in the Colorado potato beetle,20,2007," The genetic basis of host plant use by phytophagous insects can provide insight into the evolution of ecological niches, especially phenomena such as specialization and phylogenetic conservatism. We carried out a quantitative genetic analysis of multiple host use traits, estimated on five species of host plants, in the Colorado potato beetle, Leptinotarsa decemlineata (Coleoptera: Chrysomelidae). Mean values of all characters varied among host plants, providing evidence that adaptation to plants may require evolution of both behavioral (preference) and post-ingestive physiological (performance) characteristics. Significant additive genetic variation was detected for several characters on several hosts, but not in the capacity to use the two major hosts, a pattern that might be caused by directional selection. No negative genetic correlations across hosts were detected for any 'performance' traits, i.e. we found no evidence of trade-offs in fitness on different plants. Larval consumption was positively genetically correlated across host plants, suggesting that diet generalization might evolve as a distinct trait, rather than by independent evolution of feeding responses to each plant species, but several other traits did not show this pattern. We explored genetic correlations among traits expressed on a given plant species, in a first effort to shed light on the number of independent traits that may evolve in response to selection for host-plant utilization. Most traits were not correlated with each other, implying that adaptation to a novel potential host could be a complex, multidimensional 'character' that might constrain adaptation and contribute to the pronounced ecological specialization and the phylogenetic niche conservatism that characterize many clades of phytophagous insects.",behavioral and physiological characterists related to host use,Leptinotarsa decemlinneata,Colorado potato beetle,Insecta,quantitative genetic analysis,factorial multiple mating,adaptation to novel host could be a complex mutlidimensional character. no negative correlations across hosts were detected for performance traits. larval consumption positively gnetically correlated across host plants. ,probably not,,,,,,x,,,,,,,,,,,,not human
 J, AMERICAN JOURNAL OF PSYCHIATRY," Duvall, JA   Lu, A   Cantor, RM   Todd, RD   Constantino, JN   Geschwind, DHAF Duvall, Jacqueline A.   Lu, Ake   Cantor, Rita M.   Todd, Richard D.   Constantino, John N.   Geschwind, Daniel H.", A quantitative trait locus analysis of social responsiveness in   multiplex autism families,164,2007," Objective: Autism is a complex genetic disorder with a highly heterogeneous phenotype defined by repetitive behaviors, language deficits, and problems with reciprocal social interactions. The authors present the first genome-wide scan for a social endophenotype in autism using the Social Responsiveness Scale, which provides a quantitative measure of autistic-like behavior, primarily focused on social relatedness.   Method: A nonparametric quantitative genome scan was performed using the Social Responsiveness Scale in a cohort of about 100 families with two or more autistic probands from the Autism Genetic Resource Exchange to identify autism loci. To determine which additional loci were detected, linkage analysis with the same autism cohort using the qualitative diagnosis of autism was performed. To assess whether there were likely to be sex-specific genetic risk factors, the cohort was stratified by the sex of affected individuals.   Results: The quantitative Social Responsiveness Scale genome scan identified two loci on chromosomes 11 and 17, with the highest score on chromosome 11 (z = 3.22). In contrast, no linkage signals reached significance in the Autism Diagnostic Interview-Revised qualitative scan. The Social Responsiveness Scale scan with only male affecteds identified the same signals on chromosomes 11 and 17, as well as three other regions on chromosomes 4, 8, and 10.   Conclusions: This study demonstrates the utility of the Social Responsiveness Scale quantitative endophenotype to detect autism-related genetic loci using quantitative behavioral information that may more closely relate to underlying genetic factors.",GWAS for autism,humans,,,GWAS on 100 failies,,,,x,,,,,,,,,,x,,,,,,,human
 J, JOURNAL OF ECONOMIC ENTOMOLOGY," Jallow, MFA   Hoy, CWAF Jallow, Mustapha F. A.   Hoy, Casey W.", Indirect selection for increased susceptibility to permethrin in   diamondback moth (Lepidoptera : Plutellidae),100,2007," We have been exploring the behavioral response of insect pests to heterogeneous distribution of toxins (low dose with refugia), and its genetic correlation with physiological tolerance to these toxins. A field-collected population of diamondback moth, Plutella xylostella (L.) (Lepidoptera: Plutellidae), from Celeryville, OH, was selected with permethrin to determine whether low heterogeneous doses could lead to increased susceptibility to permethrin by selecting indirectly on behavior. Two replicates of each of three selection regimes: uniform high concentration hypothesized to result in increased physiological tolerance, heterogeneous low concentration hypothesized to result in increased susceptibility through indirect selection on behavior, and a control with no exposure to permethrin, were maintained in 1-m(3) cages in a greenhouse, for 33 generations. All life stages of the diamondback moth were exposed to the selection regimes, and new generations were started with a random selection of pupae from the previous generation. Lines selected with uniform high concentrations developed 76-fold levels of resistance to permethrin by the 17th generation, with little changes thereafter. For generations 1-20, lines selected with heterogeneous low concentrations remained slightly lower in LC50 but not significantly different from the unselected control lines. Based on confidence intervals from probit analyses, the LC50 of the lines selected with heterogeneous low concentration, however, were significantly lower than those of the control lines in generations 21-33. Our results demonstrate that selection on behavioral responses can result in greater susceptibility than no selection at all, despite exposure to the toxin and ample genetic variation and potential for increased physiological tolerance. The implications of our findings, which are based on selection scenarios that could take place in field situations, are that behavioral responses can prevent and even decrease the levels of resistance in insect populations, an important result with respect to resistance and resistance management.",behavioral responses to pesticide resistance,Plutella xylostella,diamondback moth,Insecta,replicated selection regimes,selection lines,"selection on behavioral responses can result in greater susceptibility than no selection at all, despite exposure to the toxin and ample genetic variation and potential for increased physiological tolerance. behavioral results can decrease tolerance -- interesting example of applications to agricultural pests",maybe,,,,,,x,,,,,,,,,,,,not human
 J, PLOS GENETICS," Henry, IM   Dilkes, BP   Comai, LAF Henry, Isabelle M.   Dilkes, Brian P.   Comai, Luca", Genetic basis for dosage sensitivity in Arabidopsis thaliana,3,2007," Aneuploidy, the relative excess or deficiency of specific chromosome types, results in gene dosage imbalance. Plants can produce viable and fertile aneuploid individuals, while most animal aneuploids are inviable or developmentally abnormal. The swarms of aneuploid progeny produced by Arabidopsis triploids constitute an excellent model to investigate the mechanisms governing dosage sensitivity and aneuploid syndromes. Indeed, genotype alters the frequency of aneuploid types within these swarms. Recombinant inbred lines that were derived from a triploid hybrid segregated into diploid and tetraploid individuals. In these recombinant inbred lines, a single locus, which we call SENSITIVE TO DOSAGE IMBALANCE ( SDI), exhibited segregation distortion in the tetraploid subpopulation only. Recent progress in quantitative genotyping now allows molecular karyotyping and genetic analysis of aneuploid populations. In this study, we investigated the causes of the ploidy-specific distortion at SDI. Allele frequency was distorted in the aneuploid swarms produced by the triploid hybrid. We developed a simple quantitative measure for aneuploidy lethality and using this measure demonstrated that distortion was greatest in the aneuploids facing the strongest viability selection. When triploids were crossed to euploids, the progeny, which lack severe aneuploids, exhibited no distortion at SDI. Genetic characterization of SDI in the aneuploid swarm identified a mechanism governing aneuploid survival, perhaps by buffering the effects of dosage imbalance. As such, SDI could increase the likelihood of retaining genomic rearrangements such as segmental duplications. Additionally, in species where triploids are fertile, aneuploid survival would facilitate gene flow between diploid and tetraploid populations via a triploid bridge and prevent polyploid speciation. Our results demonstrate that positional cloning of loci affecting traits in populations containing ploidy and chromosome number variants is now feasible using quantitative genotyping approaches.",plants,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, PSYCHOLOGICAL REVIEW," Johnson, WAF Johnson, Wendy", Genetic and environmental influences on behavior: Capturing all the   interplay,114,2007," Basic quantitative genetic models of human behavioral variation have made clear that individual differences in behavior cannot be understood without acknowledging the importance of genetic influences. Yet these basic models estimate average, population-level genetic and environmental influences, obscuring differences that might exist within the population and masking systematic transactions between specific genetic and environmental influences. This article discusses a newer, more sophisticated and powerful quantitative genetic model that articulates these transactions. Results from this model highlight the ways in which the gene-environment interaction and correlation are intertwined. They can be used to integrate findings from quantitative and molecular genetic studies and to understand the roles of genetic influences and social forces in manifested behaviors, even when DNA sequence variation is not relevant.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, JOURNAL OF EVOLUTIONARY BIOLOGY," Hadfield, JD   Nutall, A   Osorio, D   Owens, IPFAF Hadfield, J. D.   Nutall, A.   Osorio, D.   Owens, I. P. F."," Testing the phenotypic gambit: phenotypic, genetic and environmental   correlations of colour",20,2007," Evolutionary theory is primarily concerned with genetic processes, yet empirical testing of this theory often involves data collected on phenotypes. To make this tenable, the implicit assumption is often made that phenotypic patterns are good predictors of genetic patterns; an assumption that coined the phenotypic gambit. Although this assumption has been validated for traits with high heritability, such as morphology, its generality for traits with low heritabilities, such as life-history and behavioural traits, remains controversial. Using a large-scale cross-fostering experiment, we were able to measure genetic, common environmental and phenotypic correlations between four colour traits and two skeletal traits in a wild population of passerine birds, the blue tit (Parus caeruleus). Colour traits had little heritable variation but common environment effects were found to be important; skeletal traits showed the opposite pattern. Positive correlations because of a shared natal environment were found between all traits, obscuring negative genetic correlations between some colour and skeletal traits. Consequently, phenotypic patterns were poor surrogates for genetic patterns and we suggest that this may be common if trade-offs or substantial parental effects exist. For this group of traits, the phenotypic gambit cannot be made and we suggest caution when inferring genetic patterns from phenotypic data, especially for behavioural and life-history traits.",not behavior,Cyanistes caeruleus,blue tits,Aves,cross fostering,cross-foster,"do phenotypic correlations match genetic correlations for traits with relatively low heritability? color traits had little heritable variation but common environment effects were important, skeletal traits were the opposite. didn't measure behavior, just color and morphology",no,,,,,,,,,,,,,,,x,,,not human
 J, MIND BRAIN AND EDUCATION," Plomin, R   Kovas, Y   Haworth, CMAAF Plomin, Robert   Kovas, Yulia   Haworth, Claire M. A."," Generalist Genes: Genetic Links Between Brain, Mind, and Education",1,2007," Genetics contributes importantly to learning abilities and disabilities-not just to reading, the target of most genetic research, but also to mathematics and other academic areas as well. One of the most important recent findings from quantitative genetic research such as twin studies is that the same set of genes is largely responsible for genetic influence across these domains. We call these ""generalist genes"" to highlight their pervasive influence. In other words, most genes found to be associated with a particular learning ability or disability (such as reading) will also be associated with other learning abilities and disabilities (such as mathematics). Moreover, some generalist genes for learning abilities and disabilities are even more general in their effect, encompassing other cognitive abilities such as memory and spatial ability. When these generalist genes are identified, they will greatly accelerate research on general mechanisms at all levels of analysis from genes to brain to behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 J, BMC GENOMICS," Slate, J   Hale, MC   Birkhead, TRAF Slate, Jon   Hale, Matthew C.   Birkhead, Timothy R.", Simple sequence repeats in zebra finch (Taeniopygia guttata) expressed   sequence tags: a new resource for evolutionary genetic studies of   passerines,8,2007," Background: Passerines (perching birds) are widely studied across many biological disciplines including ecology, population biology, neurobiology, behavioural ecology and evolutionary biology. However, understanding the molecular basis of relevant traits is hampered by the paucity of passerine genomics tools. Efforts to address this problem are underway, and the zebra finch (Taeniopygia guttata) will be the first passerine to have its genome sequenced. Here we describe a bioinformatic analysis of zebra finch expressed sequence tag (EST) Genbank entries.   Results: A total of 48,862 ESTs were downloaded from GenBank and assembled into contigs, representing an estimated 17,404 unique sequences. The unique sequence set contained 638 simple sequence repeats (SSRs) or microsatellites of length = 20 bp and purity = 90% and 144 simple sequence repeats of length = 30 bp. A chromosomal location for the majority of SSRs was predicted by BLASTing against assembly 2.1 of the chicken genome sequence. The relative exonic location (5' untranslated region, coding region or 3' untranslated region) was predicted for 218 of the SSRs, by BLAST search against the ENSEMBL chicken peptide database. Ten loci were examined for polymorphism in two zebra finch populations and two populations of a distantly related passerine, the house sparrow Passer domesticus. Linkage was confirmed for four loci that were predicted to reside on the passerine homologue of chicken chromosome 7.   Conclusion: We show that SSRs are abundant within zebra finch ESTs, and that their genomic location can be predicted from sequence similarity with the assembled chicken genome sequence. We demonstrate that a useful proportion of zebra finch EST-SSRs are likely to be polymorphic, and that they can be used to build a linkage map. Finally, we show that many zebra finch EST-SSRs are likely to be useful in evolutionary genetic studies of other passerines.",description of zebra fincch ESTs. not relevant,Taeniopygia guttata,zebra finch,Aves,analyzed genome sequences,QTL mapping,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, BIOSCIENCE," Roff, DA   Fairbairn, DJAF Roff, Derek A.   Fairbairn, Daphne J.", The evolution and genetics of migration in insects,57,2007," Because areas suitable for growth and reproduction are often ephemeral, a primary selective force in the evolution of migratory behavior in insects is the need to colonize new habitats. However, both migration itself and flight capability reduce present reproductive success. Thus the long-term fitness benefit of migration, the colonization of new habitats, is balanced by a short-term reduction in fitness, the result being that variation for migratory ability is preserved in a population. Migration is but one component of a wide suite of functionally connected traits that together form a migratory syndrome. Genetic variation is found in all components of the migratory syndrome, and selection for migration results in a change in the frequency of expression of these components, which can be analyzed and predicted using the mathematics of quantitative genetics. We illustrate this evolutionary interplay with the example of the evolution of wing dimorphism in the sand cricket.",migration is one component of a suite of functionally connected traits all of which have genetic variation ,Gryllus firmus,sand cricket,Insecta,review,,unclear what this paper is - skim it,skim,,,,,,,,,x,,,,,,,,,not human
 J, HEREDITY," Shuker, DM   Phillimore, AJ   Burton-Chellew, MN   Hodge, SE   West, SAAF Shuker, D. M.   Phillimore, A. J.   Burton-Chellew, M. N.   Hodge, S. E.   West, S. A."," The quantitative genetic basis of polyandry in the parasitoid wasp,   Nasonia vitripennis",98,2007," Understanding the evolution of female multiple mating (polyandry) is crucial for understanding sexual selection and sexual conflict. Despite this interest, little is known about its genetic basis or whether genetics influences the evolutionary origin or maintenance of polyandry. Here, we explore the quantitative genetic basis of polyandry in the parasitoid wasp Nasonia vitripennis, a species in which female remating has been observed to evolve in the laboratory. We performed a quantitative genetic experiment on a recently collected population of wasps. We found low heritabilities of female polyandry (re-mating frequency after 18 h), low heritability of courtship duration and a slightly higher heritability of copulation duration. However, the coefficients of additive genetic variance for these traits were all reasonably large (CVA > 7.0). We also found considerable dam effects for all traits after controlling for common environment, suggesting either dominance or maternal effects. Our work adds to the evidence that nonadditive genetic effects may influence the evolution of mating behaviour in Nasonia vitripennis, and the evolution of polyandry more generally.",low heritability of female polyandry and courtship duration,Nasonia vitripennis,parasitoid wasp,Insecta,quantitative genetic experiment,half/full-sib,"coefficients ofa dditive genetic variance were large for polyandry, courtship duration, and copulation duration, despite relatively low heritabilities. Found dam efects for all traits, suggesting dominance or maternal effects.",maybe,,,x,,,,,,,,,,,,,m,,not human
 J, JOURNAL OF NUTRITION," Beard, JAF Beard, John", Recent evidence from human and animal studies regarding iron status and   infant development,137,2007," Infants are at risk for iron deficiency as breast milk or formula is replaced by semisolid foods during weaning. The scope of this article is to briefly review new findings on developmental iron deficiency and the persistence of deficiency effects into adulthood. A lack of sufficient iron intake may significantly delay the development of the central nervous system because of alterations in morphology, neurochemistry, and bioenergics. Depending on the stage of development at the time of iron deficiency, there may be an opportunity to reverse adverse effects, but the success of repletion efforts may be time dependent. The program project on ""Brain and Behavior in Early Iron Deficiency"" (B. Lozoff, P.I.) undertook preclinical and clinical studies to identify the regions of the brain and behaviors affected, and perhaps irreversibly altered, by early-life iron deficiency. Multiple outcomes are being measured in humans, nonhuman primates, and rodents. Data in monkeys show significant effects on neurodevelopment with dietary iron deficiency. Findings in human infants are consistent with altered myelination and changes in monoamine functioning. Rodent studies show that effects of iron deficiency during gestation and lactation persist despite restoration of iron status at weaning. These cross-species studies indicate a vulnerable period in early development that may result in long-lasting damage.",not relevant,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, TWIN RESEARCH AND HUMAN GENETICS," Oliver, BR   Plomin, RAF Oliver, Bonamy R.   Plomin, Robert"," Twins' Early Development Study (TEDS): A multivariate, longitudinal   genetic investigation of language, cognition and behavior problems from   childhood through adolescence",10,2007," The Twins' Early Development Study (TEDS) is a large-scale longitudinal study of twins from early childhood through adolescence. Since its conception, TEDS has had as its focus the study of problematic development within the context of normal variation, mainly in the development of language, cognitive and academic abilities and behavior problems from multivariate quantitative and molecular genetic perspectives. TEDS twins have been assessed at 2, 3, 4, 7, 9, 10 and (currently) 12 years of age, and DNA collected from more than 12,000 children. Identified from birth records of twins born in the United Kingdom between 1994 and 1996, more than 15,000 pairs of twins originally enrolled in TEDS, and well over 13,000 pairs - representative of the UK population - remain involved in the study to date. Similar to many other twin and adoption studies, TEDS data indicate that both genetic and environmental influences are important in nearly all areas of behavioral development. Multivariate genetic analyses allow researchers to go beyond this basic nature-nurture question, and TEDS results suggest that, especially in the area of learning abilities and disabilities, genes are generalists and environments are specialists. That is, genes largely contribute to similarity in performance within and between learning abilities and disabilities and across age, whereas the environment contributes to differences in performance. Quantitative genetic findings such as these chart the course for molecular genetic research. The TEDS dataset is proving valuable in genome-wide association research that tries to identify some of the many genes responsible for the ubiquitous heritability of behavior.",,,,,,,,,,,,,,,,,,,,,,,,,,human
 S, Advanced Science and Technology for Biological Decontamination of Sites   Affected by Chemical and Radiological Nuclear Agents," Marmiroli, NAF Marmiroli, Nelson", Genetic variability and genetic engineering in phytoremediation,75,2007," Plants adapted to growth in contaminated environments can be exploited for the purpose of phytoremediation. In order to evaluate their potential, genetic approaches are required to uncover the allelic variation present at both Mendelian and quantitative genes. Natural populations can provide a wealth of information regarding the mechanisms of tolerance and the accumulation of heavy metals, and recent evidence has established the genetic independence of these two aspects of the plant response to metal toxicity. Model plant systems provide an ideal tool to develop genomics and proteomics approaches in this area. The identification of significant genes, and an understanding of their properties are important for the development of genetic engineering strategies aimed at improving plants for their phytoremediation ability. Transgenic plants for metal remediation are rather inefficient and display contradictory behaviour, probably because metal accumulation is a multigenic trait. On the other hand, the insertion of single genes can confer novel degradation properties targeted at specific organic contaminants, and several such examples are described.",plants,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, AUSTRALIAN JOURNAL OF BOTANY," Lopez, R   Zehavi, A   Climent, J   Gil, LAF Lopez, Rosana   Zehavi, Ami   Climent, Jose   Gil, Luis", Contrasting ecotypic differentiation for growth and survival in Pinus   canariensis,55,2007," We tested genetic and environmental effects and their interaction on the behaviour of 21 provenances of Pinus canariensis Chr.Sm. Ex DC from the Canary Islands and three seed sources from Israel at seven study sites covering a wide range of ecological conditions. Survival and growth traits (height, diameter and polycyclism) and their relationship with environmental parameters were assessed to evaluate their adaptive value and establish patterns of variation of the species inside and outside its natural distribution area. The results showed a high level of ecotypic differentiation for survival. As a general pattern, seed sources from favourable environments exhibited lower survival rates at dry sites than those from harsh environments (r=-0.76, P<0.05, between survival and site index at the seed source). By contrast, growth traits presented a high phenotypic plasticity, scarce differentiation among seed sources and a negligible genotype x environment interaction. With few exceptions, local provenances from the Canary Islands did not stand out for survival or growth when compared with the rest at each trial site, whereas local seed sources from Israel were among the best growing and survived better at the experimental sites in this country. Therefore, the possibility of a locally adapted land race in Israel is discussed. We also discuss the low geographic differentiation for growth in the Canary Islands pine in the light of the current knowledge of the species' life history and the potential use of this species in reforestation programs in semi-arid environments.",plants,,,,,,not relevant,no,,,,,,,,,,,,,,,,,,not human
 J, BEHAVIORAL ECOLOGY," Ajie, BC   Pintor, LM   Watters, J   Kerby, JL   Hammond, JI   Sih, AAF Ajie, Beverly C.   Pintor, Lauren M.   Watters, Jason   Kerby, Jacob L.   Hammond, John I.   Sih, Andrew", A framework for determining the fitness consequences of antipredator   behavior,18,2007,"Behavioral ecologists have long been interested in understanding the adaptive value of antipredator behavior (Sih 1987; Lima and Dill 1990; Lima 1998). A recent review by Lind and Cresswell (2005), however, noted some important difficulties with quantifying the fitness consequences of antipredator behaviors. In essence, Lind and Cresswell suggest that most studies do not provide strong evidence on the adaptive value of antipredator behavior because they do not consider 1) trade-offs between antipredator and reproductive performance, 2) the abilities of organisms to avoid fitness losses associated with constraints on focal traits by employing behavioral alternatives (behavioral compensation), and 3) the effects of behavioral defenses at different stages of the predation sequence. The authors rightfully assert that an understanding of these issues can only be accomplished by measuring multiple traits and fitness components (i.e., survival and reproduction). Nevertheless, the question of how to integrate such data into a coherent analysis of adaptive value was left unclear. Our discussion therefore has 2 main goals: 1) to illustrate how the concerns addressed by Lind and Cresswell can be unified and generalized to include a variety of other issues under the conceptual framework of phenotypic integration and 2) to describe 2 quantitative techniques that exist within that framework for addressing the question of adaptive value. We begin by reiterating the main points made by Lind and Cresswell with a hypothetical example (illustrated in Figure 1).",describe how to address issues in understanding the adaptive value of antipredator behavior,,,,review,,It's important to consider multiple traits ad fitness compnents - especially since that one trait can mask another trait. The issues highlighted center around covariation between functionally related traits and can be unifed under the conceptual framework of phenotypic integration - path analysis and multivariate selection analysis. Path analysis allows for sequential behaviors to affect fitness but does not account for situtoins where fitness depends on interactive combinations of traits - multivariate selection analysis is more appropriatein this case. Correlations among traits can allow behavioral syndromes to emerge. Constraints and trade offs are not the only means of generating individual differences. No substitute for intimate knowledge of your study system - usefulness of path analysis and MSAs depends on the ability to identify key traits and fitness components relevant to specific study system.  ,read,x,,x,,,,x,,,,,,,,,,,not human
 S, ENERGY AND PROTEIN METABOLISM AND NUTRITION," Pethick, DW   Barendse, W   Hocquette, JF   Thompson, JM   Wang, YHAF Pethick, D. W.   Barendse, W.   Hocquette, J. F.   Thompson, J. M.   Wang, Y. H."," Regulation of marbling and body composition - Growth and development,   gene markers and nutritional biochemistry",,2007," In this review we first discuss the role of intramuscular fat as a factor affecting consumer preferences for meat. The development of intramuscular fat in pigs, sheep and cattle is then highlighted and the importance of total carcass fatness and muscularity is discussed. Our current level of knowledge relating to metabolic and genomic aspects of fat metabolism in intramuscular adipocytes is discussed particularly with reference to glucose metabolism and regulatory genes. It is concluded that there is a growing body of evidence that intramuscular adipocytes are metabolically different to other depots (subcutaneous fat). Critical developmental time periods are proposed based on traditional growth studies along with new evidence from gene expression experiments using micro array analysis. The role of traditional quantitative genetics and gene marker assisted selection for intramuscular fat is discussed in relation to changing fat distribution towards this site. Finally the possibility for nutritional modification of intramuscular fat is discussed. Given our current knowledge, it is currently difficult to preferentially stimulate the development of intramuscular fat in isolation to other depots by nutrition. Hence it is suggested that further research on nutritional modulation be targeted to specific genotypes within breeds of animals that have a bias toward intramuscular fat accretion.",discuss role of quantitative genetics in assisting selection for intramuscular fat,Sus domesticus,pig,Mammalia,review,,not useful,no,,,,,,,,,,,,,,,,,,not human
 J, GENETICA," Cresko, WA   McGuigan, KL   Phillips, PC   Postlethwait, JHAF Cresko, William A.   McGuigan, Katrina L.   Phillips, Patrick C.   Postlethwait, John H.", Studies of threespine stickleback developmental evolution: progress and   promise,129,2007," A promising route for understanding the origin and diversification of organismal form is through studies at the intersection of evolution and development (evo-devo). While much has been learned over the last two decades concerning macroevolutionary patterns of developmental change, a fundamental gap in the evo-devo synthesis is the integration of mathematical population and quantitative genetics with studies of how genetic variation in natural populations affects developmental processes. This micro-evo-devo synthesis requires model organisms with which to ask empirical questions. Threespine stickleback fish (Gasterosteus aculeatus), long a model for studying behavior, ecology and evolution, is emerging as a prominent model micro-evo-devo system. Research on stickleback over the last decade has begun to address the genetic basis of morphological variation and sex determination, and much of this work has important implications for understanding the genetics of speciation. In this paper we review recent threespine stickleback micro-evo-devo results, and outline the resources that have been developed to make this synthesis possible. The prospects for stickleback research to speed the micro-(and macro-) evo-devo syntheses are great, and this workhorse model system is well situated to continue contributing to our understanding of the generation of diversity in organismal form for many more decades.",evo-devo lacks integration with population and quantiative genetics,Gasterosteus aculeatus,three-spined stickleback,Actinopterygii,review,,"focused on sticklebacks, could be useful but probably beyond the scope of the chapter",maybe,,,,,,,,,,,,,,,,,,not human
